solar-UPV,wind-new,storage_level,storage_capacity,line
0.0,0.0,0.0,0.0,1.5276621114383785e-14
0.0,0.0,0.0,0.0,2.843219908030555e-14
0.0,0.0,0.0,0.0,1.490371094636397e-14
0.0,0.0,0.0,0.0,1.3230841971166336e-14
0.0,0.0,0.0,0.0,2.4122768705159187e-14
0.0,0.0,0.0,0.0,5.5585201112143885e-15
0.0,0.0,0.0,0.0,8.517275314641993e-15
0.0,0.0,0.0,0.0,1.3725408680599126e-14
0.0,0.0,0.0,0.0,1.8310034917410453e-14
0.0,0.0,0.0,0.0,1.388002604173961e-14
0.0,0.0,0.0,0.0,1.919880615814969e-14
0.0,0.0,0.0,0.0,1.9595345052663917e-14
0.0,0.0,0.0,0.0,1.4174770699411251e-14
0.0,0.0,0.0,0.0,9.990000846484967e-15
0.0,0.0,0.0,0.0,1.697438230501903e-14
0.0,0.0,0.0,0.0,2.185337237860073e-14
0.0,0.0,0.0,0.0,1.5385531367921578e-14
0.0,0.0,0.0,0.0,1.3771232864637615e-14
0.0,0.0,0.0,0.0,2.4659772454503014e-14
0.0,0.0,0.0,0.0,1.1650025221384834e-14
0.0,0.0,0.0,0.0,1.2229661172609392e-14
0.0,0.0,0.0,0.0,1.4090895233443521e-14
0.0,0.0,0.0,0.0,1.486341227499949e-14
0.0,0.0,0.0,0.0,9.978452995428071e-15
0.0,0.0,0.0,0.0,1.8534292468062624e-14
0.0,0.0,0.0,0.0,1.8477169364749724e-14
0.0,0.0,0.0,0.0,3.0652325639721404e-14
0.0,0.0,0.0,0.0,2.160780599111297e-14
0.0,0.0,0.0,0.0,1.1244335135840889e-14
0.0,0.0,0.0,0.0,1.4827709214717034e-14
0.0,0.0,0.0,0.0,1.9015725862986388e-14
0.0,0.0,0.0,0.0,1.2272343195478863e-14
0.0,0.0,0.0,0.0,4.6834369907038633e-14
0.0,0.0,0.0,0.0,1.5601366107977676e-14
0.0,0.0,0.0,0.0,1.8779974990406184e-14
0.0,0.0,0.0,0.0,3.652606255334499e-14
0.0,0.0,0.0,0.0,1.3003984250408133e-14
0.0,0.0,0.0,0.0,5.27328772006059e-15
0.0,0.0,0.0,0.0,1.0859557086466812e-14
0.0,0.0,0.0,0.0,2.0422295440361298e-14
0.0,0.0,0.0,0.0,1.3997039830854868e-14
0.0,0.0,0.0,0.0,2.5997481081615886e-14
0.0,0.0,0.0,0.0,1.0822309469224916e-14
0.0,0.0,0.0,0.0,1.8973090901635336e-14
0.0,0.0,0.0,0.0,1.085281386651271e-14
0.0,0.0,0.0,0.0,1.333510433903197e-14
0.0,0.0,0.0,0.0,1.4463689844266766e-14
0.0,0.0,0.0,0.0,2.11998830905252e-14
0.0,0.0,0.0,0.0,1.6903276628966196e-14
0.0,0.0,0.0,0.0,1.379319001230855e-14
0.0,0.0,0.0,0.0,1.972125494659474e-14
0.0,0.0,0.0,0.0,1.3355242807323725e-14
0.0,0.0,0.0,0.0,1.825041792260363e-14
0.0,0.0,0.0,0.0,1.055021462656307e-14
0.0,0.0,0.0,0.0,2.1954207029739113e-14
